01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
-9.054692,-1.655234,-1.342002,-2.612791,6.029172,3.332356,-7.588549,-2.8072,3.05545,-1.630957,-3.742409,3.35842,7.269503,-0.778013
-9.828552,-1.735157,-2.544496,-1.337142,6.684556,3.471181,-7.089026,-2.652649,2.659969,-0.409397,-4.63294,2.714905,7.395243,-0.754833
-10.976405,-1.853705,-4.328134,0.555006,7.656676,3.677097,-6.348092,-2.423405,2.073359,1.402522,-5.953849,1.760389,7.58175,-0.739864
-12.124257,-1.972253,-6.111772,2.447153,8.628795,3.883014,-5.607159,-2.194162,1.486749,3.21444,-7.274757,0.805874,7.768257,-0.697529
-13.27211,-2.090802,-7.895409,4.339301,9.600915,4.08893,-4.866225,-1.964918,0.900139,5.026358,-8.595665,-0.148641,7.954764,-0.651361
-8.098148,-1.556444,0.144363,-4.189581,5.219073,3.160759,-8.205993,-2.998236,3.544291,-3.140889,-2.641652,4.15385,7.11408,-0.751279
-7.324288,-1.476521,1.346857,-5.465231,4.563688,3.021934,-8.705517,-3.152788,3.939773,-4.36245,-1.751121,4.797366,6.988341,-0.731173
-6.176436,-1.357973,3.130495,-7.357378,3.591569,2.816017,-9.44645,-3.382031,4.526382,-6.174368,-0.430213,5.751881,6.801833,-0.726592
-5.028583,-1.239424,4.914133,-9.249526,2.619449,2.610101,-10.187384,-3.611275,5.112992,-7.986287,0.890696,6.706396,6.615326,-0.676154
-8.821481,-0.989443,-1.512587,-2.928915,5.185568,2.848282,-7.849952,-3.552517,3.035492,-1.371939,-3.311385,4.111424,7.716058,-0.773213
-8.751584,0.056078,-2.266339,-2.93361,4.080965,2.120187,-8.074455,-4.697062,2.84608,-0.467526,-2.967773,5.074148,8.488554,-0.77561
-8.647908,1.606879,-3.384365,-2.940575,2.442529,1.040217,-8.407456,-6.394746,2.565128,0.873973,-2.458098,6.502139,9.634384,-0.74996
-8.544231,3.157681,-4.502391,-2.947541,0.804092,-0.039753,-8.740457,-8.09243,2.284176,2.215473,-1.948424,7.93013,10.780214,-0.74044
-8.440555,4.708482,-5.620417,-2.954506,-0.834345,-1.119722,-9.073459,-9.790113,2.003224,3.556972,-1.43875,9.358121,11.926043,-0.725623
-8.336878,6.259284,-6.738444,-2.961471,-2.472782,-2.199692,-9.40646,-11.487797,1.722272,4.898472,-0.929075,10.786112,13.071873,-0.66296
-8.907878,-2.281777,-0.580899,-2.92311,6.550932,3.748256,-7.57245,-2.13778,3.269619,-2.489856,-3.736114,2.921432,6.7612,-0.732009
-8.977775,-3.327298,0.172853,-2.918415,7.655535,4.476351,-7.347947,-0.993234,3.459031,-3.394269,-4.079726,1.958708,5.988704,-0.740272
