,log_ls,ls,log_n,noise_sd,log_s,sig_sd
4644,1.9435385190262275,6.983418260444309,1.6667074088724725,5.294705764067596,2.6288754472693245,13.85817688552967
4645,1.5788689997865237,4.849467959144437,0.9030769442244777,2.4671828279470978,3.353552129622413,28.604159079765232
4646,2.0366040531476486,7.664536594423673,1.5602071167068088,4.759806978599849,2.2396174610437436,9.389738659500196
4647,1.9606851727853316,7.104192997667748,1.8345079036874479,6.262051854479308,2.104851939933442,8.205887955330688
4648,1.6109693652100514,5.007663130243071,1.5442154207137362,4.684294984086406,1.7569650926141245,5.794823926365803
4649,1.1620059462330623,3.1963385329076965,1.5485509242651307,4.704647849705914,2.6069823809356265,13.558075951137004
4650,1.998607776220524,7.378776037055612,1.1660059422511573,3.2091494790974613,2.391144026994576,10.925986419220434
4651,1.8851196965354058,6.587142853006823,1.175564598034903,3.2399717091908693,3.0561195919281836,21.24495790012984
4652,1.5590049599915181,4.754088382689976,1.2747981288820798,3.57797904656184,2.7212433377671106,15.19920825132748
4653,1.1399613291556543,3.1266474527513086,1.394060861560023,4.031186951735288,2.7132938842923497,15.078861830379186
4654,1.493110463202198,4.450918428020389,1.556420893271846,4.7418193599316805,3.1248439007303084,22.756342567804918
4655,1.1397233090898347,3.125903336479625,1.4424891498563035,4.231214847673571,3.01855869081019,20.461778670975146
4656,1.8240726395439566,6.1970454586567545,1.2925819689128506,3.642178417236357,3.1645319505679996,23.677659123986732
4657,2.0050682747826043,7.426600929012786,1.5860542858551199,4.884438259061048,2.571631661868601,13.08716085062602
4658,2.399977830336476,11.022932003239168,1.386445392910888,4.00060417278749,3.273969969771075,26.41600218178478
4659,1.6815210987283287,5.373723721889239,1.5353917536358086,4.643144142306034,3.1640642481525703,23.66658761491032
4660,2.3352183760495286,10.331715882336756,1.7283910132179345,5.631585468303994,2.9406810103293024,18.928732586326028
4661,1.8338846133484132,6.258149994178112,1.5004287745720948,4.483611116684314,2.6022238044785704,13.493712071788284
4662,1.4880155325663171,4.428298978556897,1.6759435595751428,5.343834997680599,1.9285544829517223,6.87955853148896
4663,1.8310102610514853,6.240187693724505,1.5101944023236422,4.527610886842414,2.450828707613458,11.59795405066153
4664,2.2593170253046546,9.576546393888721,1.2979209740716282,3.661676029205723,2.6020666221887856,13.491591265908072
4665,1.8298304999024744,6.232830103673739,1.725988186984516,5.618069991179228,3.249740592634396,25.783650580726196
4666,2.0307198866431264,7.619569611272585,1.6694163526420391,5.309068269084976,2.963344023168922,19.362612640237305
4667,1.7442947778540088,5.721864866415404,1.436825859589903,4.207319975474961,3.2382157442255206,25.488203676895715
4668,1.9740877418847944,7.200048354374421,1.6832295957850558,5.382912560368344,3.4751580420582613,32.30293335528737
4669,2.145390364494448,8.545376397825017,1.3790096950580208,3.9709672112266374,3.2533789413122562,25.877631355467603
4670,2.0497429385200148,7.765904534783815,1.4005309844116587,4.057353786584977,2.5704284167787925,13.07142325858189
4671,2.1335046049176256,8.444409332243117,1.3232794878501135,3.7557180345335874,2.877890311498776,17.776730228218568
4672,1.291610524152091,3.6386419601096693,1.3967896391790422,4.042202186695419,2.7225470866358323,15.21903712501774
4673,2.2019124520530866,9.0422899199275,1.653955051744214,5.227614480490197,2.345778483518356,10.441398020702875
4674,1.1833439517787063,3.2652748888204206,1.5905968141886486,4.906676428764622,2.505457590227288,12.249162780758704
4675,2.0091490097972873,7.456968839019196,1.8342489820604255,6.260430683711792,2.769780102479869,15.955125131561546
4676,1.5428689022253481,4.677991738955696,1.1528801649238023,3.1673021378735875,2.3829152779254645,10.83644811798715
4677,1.560308655886673,4.7602903100348914,1.5366867455764899,4.64916087151682,3.1409683074868404,23.126249340790075
4678,2.0270884987383786,7.591950177137751,1.4787872756995748,4.387621477988721,3.363319017780281,28.88490146034968
4679,2.208630539993103,9.103241328006812,1.459241130822674,4.302693107929975,3.1461965753416514,23.24747619390815
4680,1.9485987230846842,7.018845340400132,1.2874643934227379,3.6235869065427178,3.4350267251719178,31.032241896445694
4681,1.4284301381064033,4.172144357735428,1.7700341675976548,5.8710539577650716,2.646441547893364,14.10376168387354
4682,2.0545022999154323,7.802953375503942,1.2138113485287292,3.36629033931165,3.3426987398186156,28.295385641524707
4683,1.2728515188296168,3.5710208911871066,1.9508620484902153,7.034749262462805,2.513427648422902,12.34717940120442
4684,1.2396218592475874,3.4543070035157504,1.645583657942237,5.18403472717381,2.9412930850489447,18.94032193142775
4685,1.3214153592390252,3.7487234145513604,1.7224925707060654,5.598465658838867,3.2931436825853027,26.927381878539638
4686,1.1265328415426623,3.0849419537577805,1.2693477689080765,3.558530820838906,3.249386070235536,25.774511319203132
4687,2.370874645049282,10.706752798279531,1.9969176027627729,7.366315159136051,2.6489490163959957,14.13917079712998
4688,1.6060432229966697,4.9830553300313385,1.508885149918524,4.521686980190094,2.4970435050320976,12.146529668932548
4689,2.162858597727185,8.69596041510047,1.4743173058538952,4.368052710770561,2.725986857700345,15.271477267887075
4690,1.5171642085476247,4.55927768491154,1.5401004581989337,4.665058890863473,2.6571197877513555,14.255171993125275
4691,2.1115554908262997,8.261081331977005,1.2641748287689092,3.540170283841652,3.175996217049196,23.950668051271908
4692,2.1834352083703203,8.87674741995773,1.1911620268759604,3.290903104232929,1.8424757599114407,6.3121462909292205
4693,1.4337291317021474,4.194311203084197,1.4614172343738545,4.312066408619358,2.2470970340998573,9.460233201675546
4694,1.6756384460146432,5.342204769872686,1.4858906043785058,4.418899151748713,2.8427616846267103,17.163099213963882
4695,1.8919199155289155,6.6320895173234895,1.9926071217302717,7.334631133117831,3.1324844690892064,22.930879891872284
4696,1.6103892432674938,5.00475891746051,1.5729098656859941,4.820655263881697,2.736635554241369,15.434967529227801
4697,2.2158276695160195,9.168994869471492,1.1655961027970454,3.207834512507785,2.373000763657566,10.729540841094968
4698,2.3229156849254853,10.205386661137815,1.6426541967154238,5.168870520764067,2.6932619823105597,14.779808848399753
4699,1.7776611666526243,5.916003678594027,1.4604486744272185,4.307891935748687,2.192724050254636,8.959586266031977
4700,2.5188437861801996,12.414234852616486,2.060160367919183,7.847228153067109,2.084219963480275,8.038318853313358
4701,1.5938296779781318,4.922564713810677,1.5863003226707324,4.885640158546061,2.2323649992474213,9.321886284383034
4702,1.6115003507369234,5.010322832958014,1.5286051348491565,4.611739578976829,2.6301689148150222,13.87611358534242
4703,1.626692452062171,5.087021295353563,1.1677015892895701,3.214595680019831,2.4700680825001378,11.82325178078625
4704,1.8137434544991429,6.133364481866612,1.5329943112804445,4.632025804989044,2.457699595655165,11.677916687037406
4705,2.0949225124111504,8.124811373776776,1.6260136849744553,5.0835695643170045,2.392715395046899,10.943168661497474
4706,2.17639972549009,8.814514391855148,1.366504225587315,3.921617615065202,3.1351450811014594,22.99197130059397
4707,1.5282770082038706,4.610226592578997,1.435956012060558,4.203661839829913,1.8328918119380706,6.251939977204639
4708,1.4795394839959997,4.3909231248734475,1.096583056725681,2.993918476670279,2.9940113773410477,19.965611673598175
4709,1.9456018885410131,6.997842508951633,1.0286228581450256,2.797211024618955,2.842592454809668,17.16019495157485
